Algorithm,Scenario,Seed,TailErr,FinalErr,RegretPercent,MOE_energy,MOE_overall,MOE_instant,MOE_avail,EnergyExcessPercent,TSearchOrRecovery,SearchSteps,BudgetUtilization,EnergyOn
multistart,static_wind,22,2.86539782778445,2.4071570319352,9.36430496204405,0.907172720810997,0.72930771071229,0.914457557539363,0.0069204152249135,10.2325915516967,20,205,1,1
multistart,static_wind,23,2.38602052473521,1.92777972888596,6.79027478417462,0.915147852569599,0.73999036522334,0.936539644946649,0.00727272727272727,9.2719605025733,20,233,1,1
multistart,static_wind,24,1.35140857589641,0.893167780047154,4.24230078152181,0.934049573243559,0.758969648834246,0.959308710258396,0.0207612456747405,7.06069877291667,20,205,1,1
multistart,static_wind,25,1.1908995075177,0.732658711668447,4.172069259831,0.917075875010471,0.747982150143915,0.959965557280448,0.00727272727272727,9.04223164616366,20,233,1,1
multistart,static_wind,26,4.27423555332819,3.81599475747893,9.07752795515483,0.902321244660614,0.729669776011398,0.916829820228782,0.0173010380622837,10.8252749137172,20,205,1,1
multistart,static_wind,27,0.12418701919008,0.428236871369982,0.197498406000928,0.941726242733988,0.889047609679631,0.998035139841611,0.593869731800766,6.1879721113891,20,261,1,1
multistart,static_wind,28,5.0434101514177,5.50165094726696,11.3422357818252,0.891200821232235,0.716428186700586,0.898145643464952,0.0069204152249135,12.2081551290911,20,205,1,1
multistart,static_wind,29,2.50516800286627,2.04692720701701,7.53057248217288,0.912098086623931,0.736534490865922,0.930103006998037,0.00727272727272727,9.63733118895489,20,233,1,1
multistart,static_wind,30,4.97014546676715,5.4283862626164,11.2599358070939,0.891661539563511,0.718932443749498,0.898804887850954,0.0173010380622837,12.1501775762947,20,205,1,1
tracker,static_wind,11,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,12,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,13,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,14,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,15,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,16,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,17,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,18,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,19,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,20,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,21,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,22,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,23,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,24,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,25,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,26,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,27,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,28,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,29,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
tracker,static_wind,30,0.805023580873884,1.24094873542841,0.248278367745974,0.996225974714225,0.880371278081249,0.99752763574712,0.415,0.378832251072097,2,238,1,1
grid,static_wind,11,0.742681528939358,1.20092232478861,2.8224805766788,0.915454552001121,0.751175595689573,0.972582265072161,0.00836820083682008,9.23535175111298,274,161,1,1
grid,static_wind,12,0.867681528939358,1.32592232478861,3.36253857473586,0.913291264017897,0.746891486980229,0.967486183237603,0,9.49409453460012,NaN,161,1,1
grid,static_wind,13,2.11768152893936,2.57592232478861,5.23452796600291,0.901569349100049,0.735870307405667,0.950285442852141,0,10.917701560973,NaN,161,1,1
grid,static_wind,14,1.86768152893936,2.32592232478861,4.46064023759295,0.905638989810129,0.740010838479856,0.95730447858264,0,10.4192742639818,NaN,161,1,1
grid,static_wind,15,0.992681528939358,1.45092232478861,3.78553895116394,0.911541228653023,0.744830253583615,0.963532130857011,0,9.70430832598669,NaN,161,1,1
grid,static_wind,16,0.742681528939358,1.20092232478861,2.8224805766788,0.915454552001121,0.751175595689573,0.972582265072161,0.00836820083682008,9.23535175111298,274,161,1,1
grid,static_wind,17,1.74268152893936,2.20092232478861,4.29906030725561,0.906904268920645,0.741087268838872,0.958783781261832,0,10.2652213987429,NaN,161,1,1
grid,static_wind,18,0.617681528939359,1.07592232478861,2.20855972564436,0.917905290967695,0.802692899407855,0.978436829676956,0.251046025104602,8.94370147335757,186,161,1,1
grid,static_wind,19,1.36768152893936,1.82592232478861,4.2699577419867,0.90877283705656,0.742102078625791,0.959052200325035,0,10.0385001865721,NaN,161,1,1
grid,static_wind,20,2.11768152893936,2.57592232478861,5.23452796600291,0.901569349100049,0.735870307405667,0.950285442852141,0,10.917701560973,NaN,161,1,1
grid,static_wind,21,1.86768152893936,2.32592232478861,4.46064023759295,0.905638989810129,0.740010838479856,0.95730447858264,0,10.4192742639818,NaN,161,1,1
grid,static_wind,22,1.49268152893936,1.95092232478861,4.25929193842463,0.908298612621396,0.741894507849292,0.959150671795315,0,10.0959514970467,NaN,161,1,1
grid,static_wind,23,1.61768152893936,2.07592232478861,4.24908849370254,0.907740136084013,0.741643125629242,0.959243525290785,0,10.163686747839,NaN,161,1,1
grid,static_wind,24,0.992681528939358,1.45092232478861,3.78553895116394,0.911541228653023,0.744830253583615,0.963532130857011,0,9.70430832598669,NaN,161,1,1
grid,static_wind,25,0.121879839284554,0.450922324788612,0.188290706452727,0.926873943333631,0.926055028395845,0.998127134703458,0.815899581589958,7.88953634874668,173,161,1,1
grid,static_wind,26,1.49268152893936,1.95092232478861,4.25929193842463,0.908298612621396,0.741894507849292,0.959150671795315,0,10.0959514970467,NaN,161,1,1
grid,static_wind,27,1.49268152893936,1.95092232478861,4.25929193842463,0.908298612621396,0.741894507849292,0.959150671795315,0,10.0959514970467,NaN,161,1,1
grid,static_wind,28,0.992681528939358,1.45092232478861,3.78553895116394,0.911541228653023,0.744830253583615,0.963532130857011,0,9.70430832598669,NaN,161,1,1
grid,static_wind,29,0.742681528939358,1.20092232478861,2.8224805766788,0.915454552001121,0.751175595689573,0.972582265072161,0.00836820083682008,9.23535175111298,274,161,1,1
grid,static_wind,30,1.74268152893936,2.20092232478861,4.29906030725561,0.906904268920645,0.741087268838872,0.958783781261832,0,10.2652213987429,NaN,161,1,1
esc,static_wind,11,1.20198411354946,0.437977941916003,3.90766942177293,0.961648902298597,0.81627678524384,0.963174446981806,0.2325,3.98805609924099,32,400,1,1
esc,static_wind,12,0.934481099619205,0.740895151154177,2.88565740717854,0.963841566970905,0.825068146609184,0.972157877079104,0.2575,3.75149135170956,35,400,1,1
esc,static_wind,13,0.7801953814766,0.878559707576471,2.44277685153992,0.953055383631719,0.799452933802733,0.976417473289578,0.15,4.92569657278399,35,400,1,1
esc,static_wind,14,0.800471473699883,0.555072605783589,2.6564973636243,0.962616581019577,0.820649823706915,0.974471777323755,0.235,3.88352119811062,34,400,1,1
esc,static_wind,15,1.07930969591485,0.0579128719409754,3.06313071226208,0.962492096854024,0.813016851646211,0.970902677397329,0.2025,3.89695700033002,30,400,1,1
esc,static_wind,16,0.732319540763087,0.0797211717734942,2.56682516552251,0.950161684558278,0.803221029201985,0.97546728974282,0.1775,5.2452457567673,32,400,1,1
esc,static_wind,17,1.75493771996093,0.258237651771367,5.43114675086658,0.957311376993724,0.794003187313849,0.94949166272329,0.1525,4.45922027379768,35,400,1,1
esc,static_wind,18,1.03456388143612,0.694405879431419,3.26585671989468,0.93984752624301,0.782013808534589,0.968633484710278,0.1075,6.40023749356941,36,400,1,1
esc,static_wind,19,1.17717563614761,0.786343988757517,3.76235380128403,0.955880914244712,0.810263252339875,0.96440931739173,0.215,4.61554207201098,37,400,1,1
esc,static_wind,20,1.35912336998361,0.167425102204748,4.10128727374151,0.963058501538468,0.821978774919357,0.961498413833742,0.26,3.8358519656406,33,400,1,1
esc,static_wind,21,1.12579210952106,1.12356826855758,3.04000514811598,0.963219728481473,0.812370853419277,0.970869963928469,0.1975,3.81847157309696,33,400,1,1
esc,static_wind,22,4.03963836855949,3.27844159186519,9.6727898449187,0.947117867593961,0.782623550088308,0.911882054304424,0.1775,5.58347954519955,33,400,1,1
esc,static_wind,23,0.744051717308189,0.604815609378694,2.562697041284,0.96757802796006,0.825403335092091,0.975381070373536,0.245,3.3508379792682,32,400,1,1
esc,static_wind,24,0.983900964851311,0.352057119585253,3.04242808880787,0.955949561544705,0.815222191870911,0.970824703661862,0.23,4.60802956843397,30,400,1,1
esc,static_wind,25,1.24473107572984,0.0194597387564173,3.56511605297876,0.948611442291652,0.796054638851544,0.965829725685727,0.16,5.41723991692569,35,400,1,1
esc,static_wind,26,0.797095240783026,0.444105459406155,2.69520541059729,0.966396274375408,0.824933061979177,0.974116415971575,0.2475,3.47722011307529,33,400,1,1
esc,static_wind,27,0.693619629706089,0.096563942059003,2.58877850358863,0.965590338295598,0.827811311913669,0.975053809219567,0.2625,3.56358802897098,33,400,1,1
esc,static_wind,28,0.721892139898951,0.0523478807485631,2.28800796187926,0.955911630843474,0.813831630452054,0.97791938343439,0.2125,4.61218042902388,35,400,1,1
