Policy,LatencySec,Seed,MOE_energy,MOE_overall,EnergyExcessPercent,FinalErr,MeanTrackLag
est,0.3,12,0.933129604424442,0.75530219318246,7.16624949615701,8.35730017283469,0.0270781370526345
openloop,0.3,13,0.950935508331506,0.784052038773822,5.15960243766501,1.85149403208472,0
tracker,0.3,13,0.933821287472492,0.760502765887249,7.0868712691943,6.91141707728841,0.0413270787266017
esc,0.3,13,0.944126840217777,0.777894826532556,5.91797175995278,1.37748552387789,0
spsa,0.3,13,0.940788622113925,0.763242574182103,6.29380250720174,3.14312222960496,0.186936227699989
bayes,0.3,13,0.899733025736174,0.72222540622116,11.144080676797,1.06329314524877,2.75041666666667
qnewton,0.3,13,0.941858892000659,0.769897819742077,6.17301683863069,2.96037933008054,0.351013773649121
gtrack,0.3,13,0.930695742585624,0.773814932100585,7.44649988640079,1.08545135683455,0.00759329446780957
est,0.3,13,0.927191080250584,0.739418905707038,7.85263375589621,6.26927852987961,0.0127486844028511
openloop,0.5,11,0.950935508331506,0.784052038773822,5.15960243766501,1.85149403208472,0
tracker,0.5,11,0.945337309678892,0.774660117374823,5.78234771456085,2.1757918698943,0.0628184500956405
esc,0.5,11,0.942875238417591,0.787662455162514,6.05857055683001,3.23672154548491,0
spsa,0.5,11,0.939949808220622,0.764473689716497,6.38865940012868,2.05617895909118,0.302933343288955
bayes,0.5,11,0.89521773590694,0.732322919900455,11.7046680254727,1.26832716515062,2.12958333333334
qnewton,0.5,11,0.94464345585284,0.782027519283795,5.86004632797489,0.284411448241264,0.51104605679463
gtrack,0.5,11,0.929681275627398,0.754636630375786,7.56374536264028,9.2651600929708,0.0315071965345298
est,0.5,11,0.94248114778418,0.768523210660378,6.10291806377769,1.44309209937943,0.0633493780094679
openloop,0.5,12,0.950935508331506,0.784052038773822,5.15960243766501,1.85149403208472,0
tracker,0.5,12,0.945638104218212,0.782913784350703,5.74869979744851,4.98478877349754,0.0475163144160815
esc,0.5,12,0.941923141432727,0.770845049521761,6.16577468082314,1.01122292749059,0
spsa,0.5,12,0.944807636016819,0.767217177181796,5.84165092228341,4.94545533721734,0.307182210751723
bayes,0.5,12,0.89649409330508,0.739017649506384,11.5456317523887,0.0458460238926479,1.87375
qnewton,0.5,12,0.943133192404377,0.772839956669128,6.02956274401175,3.42330558718884,0.360381857458672
gtrack,0.5,12,0.942358641645427,0.765120682017849,6.11671138855664,1.22811543109329,0.0142337431840061
est,0.5,12,0.945838559952587,0.783629036987942,5.72628800945988,7.3858110191649,0.0649768961005427
openloop,0.5,13,0.950935508331506,0.784052038773822,5.15960243766501,1.85149403208472,0
tracker,0.5,13,0.943599151701943,0.77162626498744,5.97720421816067,4.84708932955522,0.0595194501479741
esc,0.5,13,0.939340727331268,0.765074653489562,6.45764320696165,7.05333046438549,0
spsa,0.5,13,0.946435976288564,0.770763030995805,5.65955067784788,4.54784369003703,0.298872206651283
