Policy,Seed,MOE_energy,MOE_overall,MOE_instant,MOE_avail,EnergyExcessPercent,FinalErr,MeanTrackLag,MaxAccelUsed,SettleQueryRatio,HoldFraction,Steps
gtrack,14,0.922410337643093,0.74913449672722,0.933097759685579,0.04,8.41162107475519,2.36187293017502,0.00159284508002187,2,0.012531328320802,0.0025,400
gtrack,15,0.918657757901743,0.747443153194718,0.933714247479486,0.04,8.85446635578912,1.84062949262591,0.00245214395136549,2,0.0100250626566416,0.0025,400
gtrack,16,0.942649357083772,0.769608804084219,0.937613751807778,0.085,6.08398472722144,2.74531876177043,0.000122949272778824,2,0.0025062656641604,0.0025,400
gtrack,17,0.914355720210785,0.76735652777885,0.952262225578192,0.1225,9.3666259089484,2.86214585827602,0.00115466813441111,2,0.012531328320802,0.0025,400
gtrack,18,0.943458499021709,0.774203747143459,0.926581658775349,0.1225,5.99300351175172,1.11254061800347,0.000463111229250819,2,0.0025062656641604,0.0025,400
gtrack,19,0.933824735172598,0.752922390423637,0.92670007612446,0.04,7.08647590226563,1.45173345553293,0.000323919541782436,2,0.0025062656641604,0.0025,400
gtrack,20,0.940898092448453,0.76894766837095,0.943328740489078,0.0775,6.28143558010077,2.15949376790909,0.00216440170667675,2,0.0100250626566416,0.0025,400
est,11,0.934344671482213,0.763718525096551,0.956820631184816,0.0475,7.02688531563345,1.56061257798164,0.0332584583891183,2,0.1175,0,400
est,12,0.933129604424442,0.75530219318246,0.917457969900798,0.0675,7.16624949615701,8.35730017283469,0.0270781370526345,2,0.085,0,400
est,13,0.927191080250584,0.739418905707038,0.91941121860582,0,7.85263375589621,6.26927852987961,0.0127486844028511,2,0.045,0,400
est,14,0.940531387625323,0.760541106543392,0.925918042435769,0.0625,6.32287376658689,1.10277255715344,0.0284096206182505,2,0.07,0,400
est,15,0.938053080095101,0.757011249174696,0.918282363757152,0.0625,6.60377554526218,9.02006270351071,0.0431978949734785,2,0.1275,0,400
est,16,0.929425534068868,0.751616463143151,0.936345653695722,0.03,7.59334269870643,7.56547688851659,0.0268339633583424,2,0.1,0,400
est,17,0.948378178713581,0.7775377241409,0.942828782613698,0.1025,5.44316839474746,1.06372110386808,0.0363515566316462,2,0.1225,0,400
est,18,0.930792095341555,0.748478406065388,0.918607861315368,0.0375,7.43537735277491,8.86663046120511,0.0108683215177617,2,0.045,0,400
est,19,0.928603740160694,0.743675192768001,0.921244408958849,0.015,7.68856044311769,9.40652603841826,0.0167896333550037,2,0.0525,0,400
est,20,0.935046762010086,0.756018765257009,0.939984614173219,0.0325,6.9465229578768,1.75481066543369,0.0273903129905579,2,0.08,0,400
known,11,0.998602835639529,0.991793738763689,0.998307736479748,0.965,0.139911915989675,0.559854535847556,0.00420980054225096,2,0,0,400
known,12,0.998602835639529,0.991793738763689,0.998307736479748,0.965,0.139911915989675,0.559854535847556,0.00420980054225096,2,0,0,400
known,13,0.998602835639529,0.991793738763689,0.998307736479748,0.965,0.139911915989675,0.559854535847556,0.00420980054225096,2,0,0,400
known,14,0.998602835639529,0.991793738763689,0.998307736479748,0.965,0.139911915989675,0.559854535847556,0.00420980054225096,2,0,0,400
known,15,0.998602835639529,0.991793738763689,0.998307736479748,0.965,0.139911915989675,0.559854535847556,0.00420980054225096,2,0,0,400
known,16,0.998602835639529,0.991793738763689,0.998307736479748,0.965,0.139911915989675,0.559854535847556,0.00420980054225096,2,0,0,400
known,17,0.998602835639529,0.991793738763689,0.998307736479748,0.965,0.139911915989675,0.559854535847556,0.00420980054225096,2,0,0,400
known,18,0.998602835639529,0.991793738763689,0.998307736479748,0.965,0.139911915989675,0.559854535847556,0.00420980054225096,2,0,0,400
known,19,0.998602835639529,0.991793738763689,0.998307736479748,0.965,0.139911915989675,0.559854535847556,0.00420980054225096,2,0,0,400
known,20,0.998602835639529,0.991793738763689,0.998307736479748,0.965,0.139911915989675,0.559854535847556,0.00420980054225096,2,0,0,400
