Policy,Seed,MeanPowerW,EnergyWh,EnduranceHours,MinimumGroundSpeed,MaximumGroundSpeed,RateViolations,BoundViolations,BlockedFraction,RadialRms,PowerCoverage,WindMode,WindObservation
baseline,2006,476.355307775384,15.8785102591795,0.314891001635967,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2006,467.8034464479,15.59344821493,0.320647488040056,3.45171594196135,8.83946437274796,0,0,0,0,1,irregular,observable
td3_agent,2006,508.517273312303,16.9505757770768,0.294975230679879,3.30842169063557,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2007,478.486201560147,15.9495400520049,0.313488663854698,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2007,478.486201560147,15.9495400520049,0.313488663854698,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2007,476.405805977857,15.8801935325952,0.314857623727138,3.50688658283127,8.60290466597232,0,0,0,0,1,irregular,observable
td3_agent,2007,493.714668608952,16.4571556202984,0.303819208820809,3.30912223605404,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2008,488.624953498735,16.2874984499578,0.306983912561044,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2008,488.624953498735,16.2874984499578,0.306983912561044,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2008,482.63423243197,16.0878077477323,0.310794365422771,3.31891237831278,8.4619268814918,0,0,0,0,1,irregular,observable
td3_agent,2008,514.504613270411,17.1501537756804,0.29154257538438,3.30858371663766,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2009,481.172573933338,16.0390857977779,0.311738465835298,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2009,481.172573933338,16.0390857977779,0.311738465835298,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2009,481.92511806596,16.0641706021987,0.311251674538096,3.31171804860377,9.11261387956767,0,0,0,0,1,irregular,observable
td3_agent,2009,499.791615035759,16.659720501192,0.300125083109423,3.30858538934042,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2010,487.691482239257,16.2563827413086,0.307571498504072,6.3,6.3,0,0,0,0,1,irregular,observable
