Algorithm,Scenario,Seed,FinalErr,RegretPercent,MOE_energy,EnergyExcessPercent,TSearchOrRecovery,SearchSteps,BudgetUtilization,EnergyOn
tracker,static,19,0.182646757682942,0.770036757478654,0.990807276931748,0.927801327491233,2,223,1,1
tracker,static,20,0.110485277182608,0.796732265036528,0.991122792803124,0.895671783691795,2,219,1,1
tracker,static,21,0.111099821227477,0.911516075681114,0.991528156917431,0.854422844521882,2,229,1,1
tracker,static,22,0.0716250505164471,0.688891606600815,0.992414989181863,0.76429829263161,2,220,1,1
tracker,static,23,0.201775789161875,0.824721320428825,0.992362716024938,0.769606097824273,2,223,1,1
tracker,static,24,0.0985195729499555,1.15121227937122,0.989303704602107,1.08119431354957,2,222,1,1
tracker,static,25,0.106540183451587,0.669497269158475,0.990196312188539,0.990075169012994,2,218,1,1
tracker,static,26,0.35824045019209,1.02978826289593,0.989810495360423,1.02943994707457,2,220,1,1
tracker,static,27,0.432854862292647,1.21932053106641,0.987244993887168,1.29197982180807,2,229,1,1
tracker,static,28,0.192635079230721,1.05160896373988,0.992397315275126,0.766092834780235,2,216,1,1
tracker,static,29,0.174235276781429,0.700100850554926,0.991374264241586,0.870078644316349,2,220,1,1
tracker,static,30,0.675061946666178,1.90453392161357,0.99001600553557,1.00846798522508,2,216,1,1
grid,static,11,0.75,2.96236358055224,0.914383650199556,9.36328528859406,NaN,161,1,1
grid,static,12,0,0,0.92942613572374,7.59327304921377,162,161,1,1
grid,static,13,0.25,0.460854083581992,0.927053554691932,7.86863336415434,162,161,1,1
grid,static,14,0.125,0.118895823979384,0.928812871518553,7.66431330404156,162,161,1,1
grid,static,15,0.25,0.460854083581992,0.927053554691932,7.86863336415434,162,161,1,1
grid,static,16,0.125,0.118895823979384,0.928812871518553,7.66431330404156,162,161,1,1
grid,static,17,0.25,0.460854083581992,0.927053554691932,7.86863336415434,162,161,1,1
grid,static,18,0.125,0.118895823979384,0.928812871518553,7.66431330404156,162,161,1,1
grid,static,19,0.375,0.98388448202594,0.924375508312558,8.18114402722478,162,161,1,1
grid,static,20,0.125,0.118895823979384,0.928812871518553,7.66431330404156,162,161,1,1
grid,static,21,0.125,0.118895823979384,0.928812871518553,7.66431330404156,162,161,1,1
grid,static,22,0.125,0.118895823979384,0.928812871518553,7.66431330404156,162,161,1,1
grid,static,23,0.375,0.98388448202594,0.924375508312558,8.18114402722478,162,161,1,1
grid,static,24,0.375,0.98388448202594,0.924375508312558,8.18114402722478,162,161,1,1
grid,static,25,0,0,0.92942613572374,7.59327304921377,162,161,1,1
grid,static,26,0.375,0.98388448202594,0.924375508312558,8.18114402722478,162,161,1,1
grid,static,27,0,0,0.92942613572374,7.59327304921377,162,161,1,1
grid,static,28,0.125,0.118895823979384,0.928812871518553,7.66431330404156,162,161,1,1
grid,static,29,0.25,0.460854083581992,0.927053554691932,7.86863336415434,162,161,1,1
grid,static,30,0,0,0.92942613572374,7.59327304921377,162,161,1,1
esc,static,11,0.416968859887044,1.85288560216523,0.964333369029908,3.69857894744132,105,400,1,1
esc,static,12,0.107502897692261,1.65806820017488,0.97656870079526,2.39934980361948,41,400,1,1
esc,static,13,0.368260963630547,2.30517756257811,0.958822689365213,4.29456990239229,138,400,1,1
esc,static,14,0.980141881768458,1.74972037575186,0.966528476610576,3.46306644857497,110,400,1,1
esc,static,15,0.998177087873248,1.45945537694108,0.96335161331123,3.80425860946056,119,400,1,1
esc,static,16,0.811320209010647,1.67942896888419,0.967856896886959,3.32105946823615,82,400,1,1
esc,static,17,0.241712939052444,1.83686648314375,0.968147078066198,3.29009121190824,89,400,1,1
esc,static,18,0.601724722681895,2.28195666325974,0.974440753705443,2.62296565464489,44,400,1,1
esc,static,19,0.109817216653067,2.11082789601501,0.972660684529002,2.81077624559654,47,400,1,1
esc,static,20,0.431384089407953,2.35582069038511,0.972288898916211,2.85008921881941,61,400,1,1
esc,static,21,1.20618562891285,1.97025948891591,0.965405977026523,3.58336531953401,103,400,1,1
esc,static,22,0.31761269878188,1.44265224748546,0.975564254183175,2.50478076785263,50,400,1,1
esc,static,23,0.00499966987281653,1.55689743762732,0.931917721064814,7.30561050576387,298,400,1,1
esc,static,24,0.559497068554795,2.22147622754913,0.963273738554354,3.81265054529187,122,400,1,1
esc,static,25,1.06541541288492,1.20524337090251,0.952512194952628,4.98553250016224,170,400,1,1
esc,static,26,0.229112310254289,1.44095195017707,0.971052874831694,2.98100401312577,77,400,1,1
esc,static,27,0.413592047512322,1.4220221170403,0.972554981643718,2.82195031379073,62,400,1,1
esc,static,28,0.196630062836817,1.76344573516333,0.972217072679366,2.85768766064414,68,400,1,1
esc,static,29,1.44875261325386,1.7787558744215,0.970187865162793,3.07282083271621,58,400,1,1
esc,static,30,0.0945272353925324,2.09577324312741,0.960458569842751,4.11693241112141,133,400,1,1
fixed,static,11,0,0,1,0,1,0,1,1
fixed,static,12,0,0,1,0,1,0,1,1
fixed,static,13,0,0,1,0,1,0,1,1
fixed,static,14,0,0,1,0,1,0,1,1
fixed,static,15,0,0,1,0,1,0,1,1
fixed,static,16,0,0,1,0,1,0,1,1
fixed,static,17,0,0,1,0,1,0,1,1
fixed,static,18,0,0,1,0,1,0,1,1
fixed,static,19,0,0,1,0,1,0,1,1
fixed,static,20,0,0,1,0,1,0,1,1
fixed,static,21,0,0,1,0,1,0,1,1
fixed,static,22,0,0,1,0,1,0,1,1
fixed,static,23,0,0,1,0,1,0,1,1
fixed,static,24,0,0,1,0,1,0,1,1
fixed,static,25,0,0,1,0,1,0,1,1
fixed,static,26,0,0,1,0,1,0,1,1
fixed,static,27,0,0,1,0,1,0,1,1
fixed,static,28,0,0,1,0,1,0,1,1
fixed,static,29,0,0,1,0,1,0,1,1
fixed,static,30,0,0,1,0,1,0,1,1
single_golden,static,11,3.41702898900177,9.52962072660157,0.913031350829123,9.52526428494495,NaN,10,1,1
single_golden,static,12,3.79574275274956,8.5303935134138,0.92135337516999,8.53598922514394,NaN,11,1,1
