v,Ptrue_W,Pl0_W,bias_W,dH3_W,dH5_W,dDrag_W,dAux_W,n_krpm
3.25,372.286463954179,434.740433740345,62.4539697861656,111.937842626119,13.1760798712035,6.30779296875,30,0.713390138999478
3.3,371.38495169001,434.747984653658,63.3630329636481,113.042727633654,13.076270920006,6.60342375,30,0.713394554911064
3.35,370.508484508944,434.755886650214,64.2474021412706,114.133460027966,12.9779077304454,6.90815015625,30,0.713399176087842
3.4,369.656984969643,434.764150443266,65.1071654736223,115.210241989408,12.8809665157859,7.22211,30,0.713404008787473
3.45,368.830377685948,434.772786906626,65.942409220678,116.273274147114,12.7854238326862,7.54544109375,30,0.713409059360852
3.5,368.028589380556,434.781807074635,66.7532176940788,117.322755525411,12.6912565813319,7.87828125,30,0.713414334252046
3.55,367.251548934451,434.791222142112,67.5396732076614,118.358883494159,12.598442005248,8.22076828125,30,0.713419839998222
3.6,366.499187432217,434.801043464316,68.3018560320994,119.381853722906,12.5069576908071,8.57304,30,0.713425583229578
3.65,365.77143820337,434.811282556894,69.0398443535236,120.391860138722,12.416781566448,8.93523421875,30,0.713431570669269
3.7,365.068236859854,434.821951095837,69.7537142359825,121.389094887605,12.3278919016224,9.30748875,30,0.713437809133327
3.75,364.389521329821,434.833060917428,70.4435395876071,122.37374829934,12.2402673054825,9.68994140625,30,0.713444305530581
3.8,363.735231887849,434.844624018191,71.1093921303423,123.346008855669,12.1538867253269,10.08273,30,0.713451066862576
3.85,363.105311181728,434.856652554835,71.7513413731074,124.306063161674,12.0687294448168,10.48599234375,30,0.713458100223479
3.9,362.499704255946,434.869158844197,72.3694545882505,125.25409592023,11.9847750819792,10.89986625,30,0.713465412799993
3.95,361.918358572022,434.882155363183,72.963796791161,126.19028990942,11.9020035870087,11.32448953125,30,0.71347301187126
4,361.361224025804,434.89565474871,73.5344307229058,127.114825962788,11.8203952398825,11.76,30,0.713480904808762
4.05,360.828252961877,434.909669797637,74.0814168357593,128.02788295231,11.7399306478008,12.20653546875,30,0.713489099076219
4.1,360.319400185207,434.924213466702,74.604813281495,128.929637773961,11.6605907424659,12.66423375,30,0.713497602229484
4.15,359.834622970141,434.939298872452,75.1046759023108,129.820265335772,11.5823567772109,13.13323265625,30,0.713506421916428
4.2,359.37388106691,434.954939291175,75.5810582242654,130.699938548256,11.505210323991,13.61367,30,0.713515565876832
4.25,358.937136705721,434.971148158821,76.0340114530997,131.568828317097,11.4291332702471,14.10568359375,30,0.713525041942263
4.3,358.524354598604,434.987939070928,76.4635844723238,132.427103537977,11.3541078156534,14.60941125,30,0.713534858035951
4.35,358.135501939089,435.005325782544,76.8698238434548,133.274931093464,11.2801164687595,15.12499078125,30,0.713545022172666
4.4,357.770548399853,435.023322208141,77.252773808288,134.112475851824,11.2071420435357,15.65256,30,0.713555542458581
4.45,357.429466128441,435.041942421533,77.6124762930923,134.939900667674,11.135167655832,16.19225671875,30,0.713566427091137
4.5,357.112229741168,435.061200655789,77.9489709146215,135.757366384381,11.0641767197596,16.74421875,30,0.713577684358903
