chunk,arm,estMode,s1_pct,s2_pct_mps,s4_vpct,dwell_s,excess_true_pct,moe_true,margin_pp,bias_meas_pct,uOpTail,uStarFit,duStarFit,windErr,rowsN,runtime_s
S2p07,purerl_off,truth,0,0.69999999999999996,0,0,0.68816518335046695,0.99316538163052892,5.5761081877761365,4.1201382926406387,5.721817675343674,NaN,NaN,NaN,3600,262.458
S2m14,sweepcal,truth,0,-1.3999999999999999,0,0,4.7519809676218028,0.95463588446035585,1.5122924035048007,-7.8979067784313894,5.7746783740478156,6.1217457896504355,0.97174578965043512,2.9074093331086885,3601,159.248
S2m14,purerl_off,truth,0,-1.3999999999999999,0,0,1.3472703277316871,0.98670639748485622,4.9170030433949163,-8.1193725172745008,5.8703977029181429,NaN,NaN,NaN,3600,255.975
S2m14,purerl_on,truth,0,-1.3999999999999999,0,0,0.93520315559249101,0.99073461858346024,5.3290702155341121,-7.9421790608875389,5.790351469720469,NaN,NaN,NaN,3602,257.902
S2p14,sweepcal,truth,0,1.3999999999999999,0,0,3.8999067774249148,0.96246477115923379,2.3643665937016887,5.975849420894197,4.1509919200802896,5.206655254924546,0.056655254924545595,3.0830311627607538,3603,158.682
S2p14,purerl_off,truth,0,1.3999999999999999,0,0,0.77787338972998588,0.99228130775570367,5.4863999813966178,7.7367516847598665,5.4472418943917527,NaN,NaN,NaN,3600,259.116
S2p14,purerl_on,truth,0,1.3999999999999999,0,0,0.7460134332525602,0.99259510716275823,5.5182599378740429,6.6099629609593062,4.6002724886884137,NaN,NaN,NaN,3603,260.021
S2m28,sweepcal,truth,0,-2.7999999999999998,0,0,6.6421301279304608,0.93771570279061001,-0.37785675680385733,-19.476478060694319,7.0099763118607878,6.7703037980709286,1.6203037980709283,2.8518186119273468,3603,158.918
S2m28,purerl_off,truth,0,-2.7999999999999998,0,0,2.3517201465509765,0.97702314975084248,3.9125532245756269,-16.860789540027834,6.0748936050636475,NaN,NaN,NaN,3602,257.621
S2p28,sweepcal,truth,0,2.7999999999999998,0,0,4.4540527799849103,0.95735873657897574,1.8102205911416931,12.220592569643824,4.2999852570152122,4.7077972419950465,-0.4422027580049539,3.0488472624648,3604,155.950
S2p28,purerl_off,truth,0,2.7999999999999998,0,0,1.1527822889920856,0.98860355332887828,5.1114910821345179,12.719570460571489,4.4910437418094284,NaN,NaN,NaN,3605,261.136
S4p1,sweepcal,l0,0,0,1,0,18.666630714189012,0.84269688452562563,-12.402357343062409,12.687277675116482,2.1404758430924842,0.5,-4.6500000000000004,2.3402870958012714,3600,158.940
S4p1,purerl_off,l0,0,0,1,0,3.519258509452782,0.96600382807870067,2.7450148616738215,22.364106512898971,6.1824105676385361,NaN,NaN,NaN,3600,256.169
S4p1,purerl_on,l0,0,0,1,0,2.7372576683269441,0.97335671858048034,3.5270157027996594,24.738702873096351,6.1610643841985056,NaN,NaN,NaN,3604,254.967
S4m1,sweepcal,l0,0,0,-1,0,17.757165293790699,0.84920522458664327,-11.492891922664096,2.9371708154556235,1.7786686101084401,0.5,-4.6500000000000004,2.3084644178813623,3600,156.127
S4m1,purerl_off,l0,0,0,-1,0,3.2962183763768662,0.96808965102317157,2.9680549947497372,17.110741630651731,4.6221907195134833,NaN,NaN,NaN,3600,255.511
S5d1,sweepcal,truth,0,0,0,1,1.2986359632990223,0.98718012388864229,4.9656374078275807,0.15536451441213886,5.5571910937609772,6.0156112733004257,0.86561127330042531,3.3064218699242809,3600,159.226
S5d1,purerl_off,truth,0,0,0,1,0.44926508156718098,0.99552744282198213,5.8150082895594224,-0.16289426432289481,4.980379945364545,NaN,NaN,NaN,3600,237.652
S5d1,purerl_on,truth,0,0,0,1,0.85476868523400817,0.99152475687191621,5.4095046858925953,-0.20130076649820883,4.27511637433249,NaN,NaN,NaN,3600,241.113
S5d2,sweepcal,truth,0,0,0,2,2.21912892132708,0.97829047317518203,4.0451444497995235,0.17778223242924579,5.2030434682970492,5.6547942785222771,0.50479427852227676,3.1648991756290781,3600,155.233
S5d2,purerl_off,truth,0,0,0,2,0.20023850486534819,0.99800161648461916,6.0640348662612551,0.11490298409018194,4.7610187776226516,NaN,NaN,NaN,3600,254.777
S5d5,sweepcal,truth,0,0,0,5,5.0829855612394388,0.95162884329854502,1.1812878098871646,0.16962781458640286,5.3790574294051448,5.4529382319047937,0.3029382319047933,2.9355486916708058,3600,155.868
S5d5,purerl_off,truth,0,0,0,5,1.1182893549640589,0.98894078052449608,5.1459840161625445,0.13045244821375021,4.8654196050077356,NaN,NaN,NaN,3600,255.948
RERUN,sweepcal,l0,0,0,0,0,17.916294594600021,0.84805921305281162,-11.652021223473419,3.8566410221955776,1.5219461800428165,0.5,-4.6500000000000004,2.2930488562482698,3600,154.533
RERUN,purerl_off,l0,0,0,0,0,3.5250797939819538,0.96594950903687327,2.7391935771446496,19.027767906885089,5.9268612519995401,NaN,NaN,NaN,3600,255.058
RERUN,purerl_on,l0,0,0,0,0,2.6856740667680117,0.97384567914486553,3.5785993043585917,21.13303520602172,5.4424851285010885,NaN,NaN,NaN,3603,257.901
