Algorithm,Seed,EnergyOn,FinalError,HitsGlobal,SteadyRegretPercent,EnergyExcessPercent,EvalsToEps,ScanSteps,RefineSteps
esc,27,1,0.413592047512322,0,1.4220221170403,2.82195031379058,62,0,0
esc,27,0,0.413592047512322,0,1.4220221170403,NaN,62,0,0
esc,28,1,0.196630062836817,1,1.76344573516333,2.85768766064398,68,0,0
esc,28,0,0.196630062836817,1,1.76344573516333,NaN,68,0,0
esc,29,1,1.44875261325386,0,1.7787558744215,3.07282083271606,58,0,0
esc,29,0,1.44875261325386,0,1.7787558744215,NaN,58,0,0
esc,30,1,0.0945272353925324,1,2.09577324312741,4.11693241112127,134,0,0
esc,30,0,0.0945272353925324,1,2.09577324312741,NaN,134,0,0
grid,11,1,0.75,0,2.96236358055224,9.36328528859377,NaN,161,0
grid,11,0,0.75,0,2.96236358055224,NaN,NaN,161,0
grid,12,1,0,1,0,7.59327304921383,162,161,0
grid,12,0,0,1,0,NaN,162,161,0
grid,13,1,0.25,1,0.460854083581992,7.86863336415406,162,161,0
grid,13,0,0.25,1,0.460854083581992,NaN,162,161,0
grid,14,1,0.125,1,0.118895823979384,7.6643133040415,162,161,0
grid,14,0,0.125,1,0.118895823979384,NaN,162,161,0
grid,15,1,0.25,1,0.460854083581992,7.86863336415406,162,161,0
grid,15,0,0.25,1,0.460854083581992,NaN,162,161,0
grid,16,1,0.125,1,0.118895823979384,7.6643133040415,162,161,0
grid,16,0,0.125,1,0.118895823979384,NaN,162,161,0
grid,17,1,0.25,1,0.460854083581992,7.86863336415406,162,161,0
grid,17,0,0.25,1,0.460854083581992,NaN,162,161,0
grid,18,1,0.125,1,0.118895823979384,7.6643133040415,162,161,0
grid,18,0,0.125,1,0.118895823979384,NaN,162,161,0
grid,19,1,0.375,0,0.98388448202594,8.18114402722435,NaN,161,0
grid,19,0,0.375,0,0.98388448202594,NaN,NaN,161,0
grid,20,1,0.125,1,0.118895823979384,7.6643133040415,162,161,0
grid,20,0,0.125,1,0.118895823979384,NaN,162,161,0
grid,21,1,0.125,1,0.118895823979384,7.6643133040415,162,161,0
grid,21,0,0.125,1,0.118895823979384,NaN,162,161,0
grid,22,1,0.125,1,0.118895823979384,7.6643133040415,162,161,0
grid,22,0,0.125,1,0.118895823979384,NaN,162,161,0
grid,23,1,0.375,0,0.98388448202594,8.18114402722435,NaN,161,0
grid,23,0,0.375,0,0.98388448202594,NaN,NaN,161,0
grid,24,1,0.375,0,0.98388448202594,8.18114402722435,NaN,161,0
grid,24,0,0.375,0,0.98388448202594,NaN,NaN,161,0
grid,25,1,0,1,0,7.59327304921383,162,161,0
grid,25,0,0,1,0,NaN,162,161,0
grid,26,1,0.375,0,0.98388448202594,8.18114402722435,NaN,161,0
grid,26,0,0.375,0,0.98388448202594,NaN,NaN,161,0
grid,27,1,0,1,0,7.59327304921383,162,161,0
grid,27,0,0,1,0,NaN,162,161,0
grid,28,1,0.125,1,0.118895823979384,7.6643133040415,162,161,0
grid,28,0,0.125,1,0.118895823979384,NaN,162,161,0
grid,29,1,0.25,1,0.460854083581992,7.86863336415406,162,161,0
grid,29,0,0.25,1,0.460854083581992,NaN,162,161,0
grid,30,1,0,1,0,7.59327304921383,162,161,0
grid,30,0,0,1,0,NaN,162,161,0
filter_argmin,11,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,11,0,0,1,0,NaN,62,61,0
filter_argmin,12,1,0.333333333333333,1,0.79297056687819,3.57934253418898,62,61,0
filter_argmin,12,0,0.333333333333333,1,0.79297056687819,NaN,62,61,0
filter_argmin,13,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,13,0,0,1,0,NaN,62,61,0
filter_argmin,14,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,14,0,0,1,0,NaN,62,61,0
filter_argmin,15,1,0.333333333333333,1,0.79297056687819,3.57934253418898,62,61,0
